algorithm,n_members,group_size,time,distance,groups,group_distances,gini-index
ACO,60,2,2.5094393999897875,4.486111111111111,"[[45, 48], [12, 25], [59, 38], [35, 32], [44, 18], [41, 0], [51, 43], [14, 3], [8, 7], [47, 16], [46, 19], [31, 36], [42, 21], [15, 17], [11, 30], [1, 5], [22, 52], [58, 57], [2, 33], [37, 39], [23, 54], [6, 4], [34, 53], [56, 20], [49, 28], [40, 29], [27, 9], [55, 13], [24, 10], [26, 50]]","[0.18055556 0.04166667 0.125      0.08333333 0.16666667 0.16666667
 0.125      0.125      0.09722222 0.18055556 0.125      0.16666667
 0.26388889 0.09722222 0.         0.125      0.08333333 0.125
 0.125      0.20833333 0.25       0.22222222 0.125      0.18055556
 0.08333333 0.29166667 0.09722222 0.20833333 0.125      0.29166667]",0.26080922387103656
ACO,60,2,2.559491300024092,4.486111111111111,"[[45, 48], [12, 25], [59, 38], [35, 32], [44, 18], [41, 0], [19, 46], [14, 3], [31, 36], [34, 53], [1, 5], [7, 8], [54, 23], [6, 4], [39, 37], [27, 9], [15, 17], [42, 21], [51, 43], [11, 30], [20, 56], [2, 33], [16, 29], [13, 55], [40, 22], [52, 24], [26, 50], [47, 10], [57, 58], [28, 49]]","[0.18055556 0.04166667 0.125      0.08333333 0.16666667 0.16666667
 0.125      0.125      0.16666667 0.125      0.125      0.09722222
 0.25       0.22222222 0.20833333 0.09722222 0.09722222 0.26388889
 0.125      0.         0.18055556 0.125      0.08333333 0.20833333
 0.125      0.25       0.29166667 0.22222222 0.125      0.08333333]",0.2576064908722111
ACO,60,2,2.5992251000134274,4.402777777777778,"[[45, 48], [12, 25], [59, 50], [35, 32], [44, 18], [41, 0], [33, 2], [31, 36], [15, 17], [58, 57], [40, 22], [52, 24], [43, 51], [1, 5], [39, 37], [42, 3], [53, 34], [56, 20], [38, 21], [4, 6], [26, 14], [13, 55], [7, 8], [29, 16], [30, 11], [49, 28], [27, 9], [23, 54], [19, 46], [10, 47]]","[0.18055556 0.04166667 0.125      0.08333333 0.16666667 0.16666667
 0.125      0.16666667 0.09722222 0.125      0.125      0.25
 0.125      0.125      0.20833333 0.08333333 0.125      0.18055556
 0.18055556 0.22222222 0.33333333 0.20833333 0.09722222 0.08333333
 0.         0.08333333 0.09722222 0.25       0.125      0.22222222]",0.26357010769063416
ACO,60,2,2.5755584000144154,4.486111111111111,"[[45, 48], [12, 25], [59, 50], [35, 32], [44, 18], [41, 0], [7, 8], [46, 19], [15, 17], [14, 3], [42, 21], [9, 27], [26, 51], [34, 53], [49, 28], [31, 36], [33, 2], [38, 47], [52, 22], [29, 16], [13, 55], [4, 57], [54, 23], [20, 56], [30, 11], [24, 10], [43, 40], [5, 1], [58, 37], [6, 39]]","[0.18055556 0.04166667 0.125      0.08333333 0.16666667 0.16666667
 0.09722222 0.125      0.09722222 0.125      0.26388889 0.09722222
 0.22222222 0.125      0.08333333 0.16666667 0.125      0.19444444
 0.08333333 0.08333333 0.20833333 0.08333333 0.25       0.18055556
 0.         0.125      0.36111111 0.125      0.22222222 0.27777778]",0.2860040567951317
ACO,60,2,2.572271599987289,4.513888888888889,"[[45, 48], [12, 25], [59, 50], [35, 32], [44, 18], [41, 0], [21, 9], [20, 56], [46, 19], [37, 39], [34, 53], [5, 1], [33, 2], [8, 7], [54, 23], [43, 51], [15, 17], [52, 22], [30, 11], [14, 3], [58, 57], [49, 28], [4, 6], [24, 10], [47, 16], [26, 29], [42, 38], [55, 13], [36, 31], [27, 40]]","[0.18055556 0.04166667 0.125      0.08333333 0.16666667 0.16666667
 0.20833333 0.18055556 0.125      0.20833333 0.125      0.125
 0.125      0.09722222 0.25       0.125      0.09722222 0.08333333
 0.         0.125      0.125      0.08333333 0.22222222 0.125
 0.18055556 0.25       0.16666667 0.20833333 0.16666667 0.34722222]",0.2509283819628648
ACO,60,2,2.563234700006433,4.402777777777778,"[[45, 48], [12, 25], [59, 50], [35, 32], [44, 18], [41, 0], [9, 27], [16, 29], [40, 22], [30, 11], [47, 13], [52, 55], [7, 8], [46, 19], [28, 49], [5, 1], [31, 36], [51, 43], [21, 38], [20, 56], [6, 4], [42, 3], [53, 34], [54, 23], [33, 2], [17, 15], [14, 26], [37, 39], [57, 58], [24, 10]]","[0.18055556 0.04166667 0.125      0.08333333 0.16666667 0.16666667
 0.09722222 0.08333333 0.125      0.         0.22222222 0.33333333
 0.09722222 0.125      0.08333333 0.125      0.16666667 0.125
 0.18055556 0.18055556 0.22222222 0.08333333 0.125      0.25
 0.125      0.09722222 0.33333333 0.20833333 0.125      0.125     ]",0.2746655063635374
ACO,60,2,2.682386700005736,4.430555555555556,"[[45, 48], [12, 25], [59, 50], [35, 32], [44, 18], [41, 0], [31, 36], [21, 38], [23, 54], [4, 57], [27, 9], [58, 37], [33, 2], [46, 19], [49, 28], [51, 43], [17, 15], [30, 11], [5, 1], [52, 22], [39, 6], [16, 29], [42, 3], [14, 26], [7, 8], [13, 55], [47, 10], [56, 20], [34, 53], [40, 24]]","[0.18055556 0.04166667 0.125      0.08333333 0.16666667 0.16666667
 0.16666667 0.18055556 0.25       0.08333333 0.09722222 0.22222222
 0.125      0.125      0.08333333 0.125      0.09722222 0.
 0.125      0.08333333 0.27777778 0.08333333 0.08333333 0.33333333
 0.09722222 0.20833333 0.22222222 0.18055556 0.125      0.29166667]",0.2908874716246892
ACO,60,2,2.597088900016388,4.402777777777778,"[[45, 48], [12, 25], [59, 50], [35, 32], [44, 18], [41, 0], [49, 28], [46, 19], [43, 51], [39, 37], [23, 54], [56, 20], [3, 42], [40, 22], [10, 24], [7, 8], [17, 15], [6, 4], [57, 58], [2, 33], [53, 34], [38, 21], [9, 27], [16, 29], [13, 47], [11, 30], [1, 5], [52, 55], [31, 36], [26, 14]]","[0.18055556 0.04166667 0.125      0.08333333 0.16666667 0.16666667
 0.08333333 0.125      0.125      0.20833333 0.25       0.18055556
 0.08333333 0.125      0.125      0.09722222 0.09722222 0.22222222
 0.125      0.125      0.125      0.18055556 0.09722222 0.08333333
 0.22222222 0.         0.125      0.33333333 0.16666667 0.33333333]",0.2746655063635374
ACO,60,2,2.5429338999965694,4.402777777777778,"[[45, 48], [12, 25], [59, 50], [35, 32], [44, 18], [41, 0], [49, 28], [7, 8], [37, 39], [46, 19], [30, 11], [42, 3], [10, 24], [34, 53], [17, 15], [43, 51], [26, 14], [47, 13], [21, 38], [56, 20], [33, 2], [5, 1], [58, 57], [31, 36], [4, 6], [16, 29], [27, 9], [54, 23], [55, 52], [40, 22]]","[0.18055556 0.04166667 0.125      0.08333333 0.16666667 0.16666667
 0.08333333 0.09722222 0.20833333 0.125      0.         0.08333333
 0.125      0.125      0.09722222 0.125      0.33333333 0.22222222
 0.18055556 0.18055556 0.125      0.125      0.125      0.16666667
 0.22222222 0.08333333 0.09722222 0.25       0.33333333 0.125     ]",0.2746655063635374
ACO,60,2,2.617449099983787,4.486111111111111,"[[45, 48], [12, 25], [59, 50], [35, 32], [44, 18], [41, 0], [8, 7], [26, 3], [22, 52], [39, 37], [19, 46], [58, 57], [2, 33], [43, 51], [31, 36], [38, 42], [6, 4], [5, 1], [11, 30], [24, 10], [15, 17], [56, 20], [28, 49], [34, 53], [21, 9], [54, 23], [16, 29], [40, 47], [13, 55], [27, 14]]","[0.18055556 0.04166667 0.125      0.08333333 0.16666667 0.16666667
 0.09722222 0.125      0.08333333 0.20833333 0.125      0.125
 0.125      0.125      0.16666667 0.16666667 0.22222222 0.125
 0.         0.125      0.09722222 0.18055556 0.08333333 0.125
 0.20833333 0.25       0.08333333 0.38888889 0.20833333 0.27777778]",0.2706309384007687
PCK,60,2,117.39044200000353,7.874999999999998,"[[0, 32], [15, 29], [14, 28], [7, 24], [17, 36], [13, 41], [1, 34], [31, 35], [21, 51], [30, 58], [22, 40], [20, 25], [38, 50], [2, 19], [9, 48], [3, 26], [54, 59], [12, 43], [27, 56], [4, 57], [11, 53], [37, 39], [8, 52], [16, 55], [10, 49], [33, 47], [5, 6], [45, 46], [23, 42], [18, 44]]","[0.29166667 0.125      0.29166667 0.125      0.18055556 0.375
 0.33333333 0.25       0.5        0.22222222 0.125      0.51388889
 0.16666667 0.25       0.22222222 0.125      0.20833333 0.23611111
 0.18055556 0.08333333 0.29166667 0.20833333 0.47222222 0.33333333
 0.25       0.38888889 0.33333333 0.29166667 0.33333333 0.16666667]",0.24271726570577137
PCK,60,2,363.5524388999911,8.069444444444443,"[[20, 47], [0, 46], [42, 44], [24, 55], [26, 39], [27, 51], [8, 48], [16, 49], [2, 15], [38, 21], [43, 53], [9, 25], [19, 45], [3, 14], [50, 54], [4, 58], [1, 22], [37, 41], [34, 57], [36, 56], [17, 18], [23, 59], [5, 13], [10, 29], [11, 33], [12, 28], [35, 52], [7, 40], [6, 30], [31, 32]]","[0.29166667 0.23611111 0.43055556 0.16666667 0.375      0.13888889
 0.56944444 0.45833333 0.31944444 0.18055556 0.30555556 0.44444444
 0.25       0.125      0.33333333 0.125      0.30555556 0.33333333
 0.18055556 0.25       0.30555556 0.20833333 0.22222222 0.125
 0.26388889 0.20833333 0.20833333 0.25       0.375      0.08333333]",0.2401922962787109
PCK,60,2,363.45137610001257,7.347222222222222,"[[38, 45], [9, 48], [15, 36], [7, 53], [1, 32], [37, 39], [2, 51], [21, 55], [23, 50], [12, 28], [10, 29], [3, 59], [27, 33], [43, 46], [34, 11], [22, 52], [5, 13], [54, 58], [4, 57], [26, 49], [16, 47], [24, 40], [14, 42], [25, 56], [17, 19], [8, 44], [0, 41], [31, 35], [6, 30], [18, 20]]","[0.43055556 0.22222222 0.25       0.47222222 0.18055556 0.20833333
 0.16666667 0.52777778 0.25       0.20833333 0.125      0.125
 0.34722222 0.25       0.16666667 0.08333333 0.22222222 0.34722222
 0.08333333 0.29166667 0.18055556 0.29166667 0.29166667 0.08333333
 0.30555556 0.22222222 0.16666667 0.25       0.375      0.22222222]",0.2520696173652304
PCK,60,2,107.91820809998899,8.319444444444443,"[[23, 33], [12, 28], [13, 46], [0, 7], [27, 56], [10, 29], [1, 5], [22, 57], [8, 44], [24, 40], [25, 26], [58, 37], [20, 42], [16, 47], [3, 49], [2, 51], [38, 48], [31, 35], [30, 34], [17, 18], [4, 52], [41, 55], [9, 21], [45, 50], [43, 54], [14, 59], [6, 39], [11, 53], [32, 19], [15, 36]]","[0.38888889 0.20833333 0.19444444 0.20833333 0.18055556 0.125
 0.125      0.40277778 0.22222222 0.29166667 0.45833333 0.22222222
 0.31944444 0.18055556 0.5        0.16666667 0.33333333 0.25
 0.33333333 0.30555556 0.23611111 0.33333333 0.20833333 0.34722222
 0.30555556 0.16666667 0.27777778 0.29166667 0.48611111 0.25      ]",0.2061481779978124
