algorithm,n_members,group_size,time,distance,groups,group_distances,gini-index
ACO,96,2,5.203525399992941,6.402777777777777,"[[90, 46], [8, 58], [73, 45], [24, 68], [84, 71], [29, 54], [80, 47], [37, 53], [79, 30], [64, 78], [63, 70], [92, 2], [67, 27], [57, 18], [77, 61], [36, 1], [83, 10], [40, 51], [20, 89], [48, 95], [39, 62], [35, 23], [19, 31], [69, 55], [14, 0], [66, 52], [34, 93], [76, 15], [65, 12], [13, 60], [11, 88], [85, 4], [42, 26], [59, 81], [44, 7], [74, 75], [33, 41], [38, 17], [9, 25], [21, 5], [86, 56], [16, 6], [50, 22], [49, 87], [91, 94], [28, 32], [3, 82], [43, 72]]","[0.08333333 0.13888889 0.125      0.08333333 0.09722222 0.16666667
 0.16666667 0.08333333 0.125      0.08333333 0.16666667 0.16666667
 0.08333333 0.16666667 0.08333333 0.08333333 0.125      0.19444444
 0.125      0.18055556 0.18055556 0.09722222 0.15277778 0.125
 0.16666667 0.09722222 0.125      0.         0.08333333 0.08333333
 0.25       0.16666667 0.08333333 0.16666667 0.20833333 0.16666667
 0.16666667 0.04166667 0.09722222 0.08333333 0.08333333 0.18055556
 0.13888889 0.19444444 0.16666667 0.22222222 0.13888889 0.20833333]",0.21419670466608198
ACO,96,2,5.248439499991946,6.291666666666666,"[[90, 46], [8, 58], [73, 85], [24, 68], [84, 71], [29, 54], [80, 74], [37, 53], [79, 66], [4, 82], [28, 12], [83, 10], [14, 16], [0, 33], [30, 67], [38, 17], [64, 78], [18, 39], [49, 6], [63, 55], [87, 72], [41, 34], [25, 9], [7, 48], [61, 77], [62, 75], [42, 26], [31, 88], [51, 57], [15, 76], [1, 36], [23, 35], [40, 45], [92, 2], [27, 21], [70, 20], [81, 59], [56, 86], [60, 13], [95, 47], [19, 69], [93, 11], [50, 22], [91, 52], [43, 65], [3, 32], [5, 94], [44, 89]]","[0.08333333 0.13888889 0.125      0.08333333 0.09722222 0.16666667
 0.16666667 0.08333333 0.125      0.125      0.09722222 0.125
 0.125      0.16666667 0.08333333 0.04166667 0.08333333 0.13888889
 0.16666667 0.16666667 0.13888889 0.20833333 0.09722222 0.18055556
 0.08333333 0.22222222 0.08333333 0.13888889 0.20833333 0.
 0.08333333 0.09722222 0.13888889 0.16666667 0.13888889 0.125
 0.16666667 0.08333333 0.08333333 0.13888889 0.20833333 0.16666667
 0.13888889 0.08333333 0.125      0.25       0.125      0.22222222]",0.21187356159879742
ACO,96,2,5.268461200001184,6.208333333333333,"[[90, 46], [8, 58], [73, 45], [24, 36], [84, 71], [29, 15], [80, 47], [37, 53], [79, 66], [12, 85], [38, 17], [50, 3], [2, 92], [33, 76], [35, 61], [70, 63], [32, 52], [11, 93], [86, 56], [81, 74], [1, 28], [95, 40], [22, 91], [87, 72], [44, 77], [75, 23], [26, 42], [89, 20], [27, 67], [13, 60], [51, 57], [83, 10], [0, 18], [62, 39], [68, 4], [14, 16], [78, 64], [82, 21], [49, 6], [43, 65], [59, 88], [48, 7], [31, 19], [69, 55], [94, 5], [34, 41], [54, 30], [9, 25]]","[0.08333333 0.13888889 0.125      0.08333333 0.09722222 0.16666667
 0.16666667 0.08333333 0.125      0.05555556 0.04166667 0.18055556
 0.16666667 0.09722222 0.16666667 0.16666667 0.08333333 0.16666667
 0.08333333 0.04166667 0.16666667 0.19444444 0.125      0.13888889
 0.16666667 0.08333333 0.08333333 0.125      0.08333333 0.08333333
 0.20833333 0.125      0.20833333 0.18055556 0.125      0.125
 0.08333333 0.09722222 0.16666667 0.125      0.18055556 0.18055556
 0.15277778 0.125      0.125      0.20833333 0.125      0.09722222]",0.19653481841115694
ACO,96,2,5.221329699998023,6.208333333333333,"[[90, 46], [8, 58], [73, 45], [24, 36], [84, 71], [29, 54], [80, 74], [37, 53], [79, 66], [10, 83], [69, 55], [56, 86], [41, 33], [12, 85], [2, 92], [32, 52], [94, 5], [30, 67], [49, 6], [65, 43], [60, 13], [9, 25], [64, 78], [89, 20], [81, 59], [26, 42], [1, 28], [63, 70], [34, 93], [57, 18], [11, 88], [61, 77], [82, 21], [38, 17], [22, 91], [68, 4], [35, 23], [51, 40], [76, 15], [47, 95], [87, 72], [62, 39], [19, 31], [75, 48], [14, 16], [50, 3], [44, 7], [0, 27]]","[0.08333333 0.13888889 0.125      0.08333333 0.09722222 0.16666667
 0.16666667 0.08333333 0.125      0.125      0.125      0.08333333
 0.16666667 0.05555556 0.16666667 0.08333333 0.125      0.08333333
 0.16666667 0.125      0.08333333 0.09722222 0.08333333 0.125
 0.16666667 0.08333333 0.16666667 0.16666667 0.125      0.16666667
 0.25       0.08333333 0.09722222 0.04166667 0.125      0.125
 0.09722222 0.19444444 0.         0.13888889 0.13888889 0.18055556
 0.15277778 0.20833333 0.125      0.18055556 0.20833333 0.22222222]",0.21300395068780043
ACO,96,2,5.225850399991032,6.347222222222222,"[[90, 46], [8, 58], [73, 85], [24, 36], [84, 71], [29, 54], [80, 74], [37, 53], [79, 30], [59, 88], [62, 39], [60, 13], [20, 89], [82, 21], [42, 26], [76, 15], [38, 17], [78, 64], [5, 32], [56, 86], [47, 95], [50, 22], [94, 91], [4, 68], [7, 48], [87, 72], [55, 69], [9, 25], [31, 19], [35, 23], [6, 49], [33, 0], [81, 1], [40, 45], [11, 93], [14, 16], [2, 92], [51, 57], [27, 67], [63, 70], [28, 12], [83, 10], [3, 61], [43, 65], [18, 75], [52, 66], [77, 44], [34, 41]]","[0.08333333 0.13888889 0.125      0.08333333 0.09722222 0.16666667
 0.16666667 0.08333333 0.125      0.18055556 0.18055556 0.08333333
 0.125      0.09722222 0.08333333 0.         0.04166667 0.08333333
 0.125      0.08333333 0.13888889 0.13888889 0.16666667 0.125
 0.18055556 0.13888889 0.125      0.09722222 0.15277778 0.09722222
 0.16666667 0.16666667 0.19444444 0.13888889 0.16666667 0.125
 0.16666667 0.20833333 0.08333333 0.16666667 0.09722222 0.125
 0.25       0.125      0.18055556 0.09722222 0.16666667 0.20833333]",0.197169328181014
ACO,96,2,5.265514200000325,6.319444444444445,"[[90, 46], [8, 58], [73, 45], [24, 36], [84, 71], [29, 54], [80, 47], [37, 53], [79, 66], [3, 82], [32, 52], [38, 17], [59, 88], [11, 93], [95, 7], [5, 21], [19, 31], [49, 6], [12, 85], [55, 69], [42, 26], [62, 39], [41, 33], [74, 81], [23, 35], [67, 27], [15, 76], [10, 83], [34, 0], [92, 2], [94, 61], [86, 56], [13, 60], [51, 40], [78, 64], [1, 28], [22, 50], [44, 89], [63, 70], [43, 65], [4, 68], [77, 72], [14, 16], [48, 75], [91, 30], [9, 25], [18, 57], [20, 87]]","[0.08333333 0.13888889 0.125      0.08333333 0.09722222 0.16666667
 0.16666667 0.08333333 0.125      0.13888889 0.08333333 0.04166667
 0.18055556 0.16666667 0.19444444 0.08333333 0.15277778 0.16666667
 0.05555556 0.125      0.08333333 0.18055556 0.16666667 0.04166667
 0.09722222 0.08333333 0.         0.125      0.20833333 0.16666667
 0.16666667 0.08333333 0.08333333 0.19444444 0.08333333 0.16666667
 0.13888889 0.22222222 0.16666667 0.125      0.125      0.20833333
 0.125      0.20833333 0.18055556 0.09722222 0.16666667 0.16666667]",0.21917231704465723
ACO,96,2,5.162612600019202,6.208333333333333,"[[90, 46], [8, 58], [73, 45], [24, 68], [84, 36], [29, 54], [80, 47], [37, 53], [79, 30], [31, 10], [78, 64], [11, 93], [22, 91], [60, 13], [65, 43], [81, 74], [56, 86], [72, 6], [14, 0], [32, 52], [88, 59], [51, 40], [61, 77], [23, 75], [67, 27], [76, 15], [71, 35], [19, 4], [63, 70], [25, 9], [41, 33], [85, 12], [82, 21], [89, 20], [3, 50], [17, 38], [48, 7], [2, 92], [49, 87], [55, 69], [66, 62], [16, 34], [94, 5], [18, 39], [57, 95], [1, 28], [42, 26], [83, 44]]","[0.08333333 0.13888889 0.125      0.08333333 0.08333333 0.16666667
 0.16666667 0.08333333 0.125      0.13888889 0.08333333 0.16666667
 0.125      0.08333333 0.125      0.04166667 0.08333333 0.13888889
 0.16666667 0.08333333 0.18055556 0.19444444 0.08333333 0.08333333
 0.08333333 0.         0.125      0.20833333 0.16666667 0.09722222
 0.16666667 0.05555556 0.09722222 0.125      0.18055556 0.04166667
 0.18055556 0.16666667 0.19444444 0.125      0.22222222 0.16666667
 0.125      0.13888889 0.29166667 0.16666667 0.08333333 0.16666667]",0.23175781807796672
ACO,96,2,5.566182500013383,6.263888888888889,"[[90, 46], [8, 58], [73, 45], [24, 68], [84, 71], [29, 54], [80, 23], [37, 53], [79, 30], [20, 89], [59, 88], [72, 87], [27, 67], [32, 52], [91, 5], [3, 82], [86, 56], [36, 1], [13, 60], [47, 95], [77, 61], [21, 94], [81, 74], [17, 38], [19, 31], [57, 0], [49, 6], [25, 9], [10, 83], [12, 85], [39, 18], [92, 2], [64, 78], [41, 33], [40, 51], [22, 50], [48, 7], [14, 16], [4, 35], [42, 26], [44, 28], [93, 34], [76, 15], [63, 70], [66, 62], [11, 75], [43, 65], [55, 69]]","[0.08333333 0.13888889 0.125      0.08333333 0.09722222 0.16666667
 0.16666667 0.08333333 0.125      0.125      0.18055556 0.13888889
 0.08333333 0.08333333 0.125      0.13888889 0.08333333 0.08333333
 0.08333333 0.13888889 0.08333333 0.125      0.04166667 0.04166667
 0.15277778 0.20833333 0.16666667 0.09722222 0.125      0.05555556
 0.13888889 0.16666667 0.08333333 0.16666667 0.19444444 0.13888889
 0.18055556 0.125      0.18055556 0.08333333 0.30555556 0.125
 0.         0.16666667 0.22222222 0.30555556 0.125      0.125     ]",0.24121337925178074
ACO,96,2,5.199457799986703,6.208333333333333,"[[90, 46], [8, 58], [73, 85], [24, 68], [84, 36], [29, 54], [80, 47], [37, 53], [79, 66], [74, 81], [38, 17], [71, 35], [21, 5], [12, 28], [95, 59], [64, 78], [52, 32], [55, 20], [10, 83], [31, 19], [63, 70], [94, 93], [15, 76], [62, 34], [16, 14], [4, 82], [61, 77], [25, 9], [7, 48], [3, 50], [41, 33], [30, 67], [45, 40], [60, 13], [11, 88], [75, 23], [91, 22], [87, 72], [26, 42], [86, 56], [49, 6], [18, 39], [51, 57], [0, 27], [43, 65], [2, 92], [89, 44], [1, 69]]","[0.08333333 0.13888889 0.125      0.08333333 0.08333333 0.16666667
 0.16666667 0.08333333 0.125      0.04166667 0.04166667 0.125
 0.08333333 0.09722222 0.18055556 0.08333333 0.08333333 0.125
 0.125      0.15277778 0.16666667 0.15277778 0.         0.20833333
 0.125      0.125      0.08333333 0.09722222 0.18055556 0.18055556
 0.16666667 0.08333333 0.13888889 0.08333333 0.25       0.08333333
 0.125      0.13888889 0.08333333 0.08333333 0.16666667 0.13888889
 0.20833333 0.22222222 0.125      0.16666667 0.22222222 0.20833333]",0.2289970964824598
ACO,96,2,5.165027499984717,6.319444444444444,"[[90, 46], [8, 58], [73, 45], [24, 68], [84, 71], [29, 54], [80, 23], [37, 53], [79, 30], [32, 52], [47, 95], [64, 78], [10, 83], [85, 12], [0, 57], [62, 81], [20, 70], [18, 39], [15, 76], [40, 51], [60, 13], [55, 69], [41, 33], [19, 31], [25, 9], [77, 61], [3, 82], [59, 88], [87, 72], [1, 28], [26, 42], [65, 43], [27, 67], [44, 7], [49, 6], [86, 56], [94, 21], [17, 38], [2, 92], [48, 75], [63, 4], [50, 22], [89, 36], [91, 5], [93, 34], [14, 16], [66, 74], [11, 35]]","[0.08333333 0.13888889 0.125      0.08333333 0.09722222 0.16666667
 0.16666667 0.08333333 0.125      0.08333333 0.13888889 0.08333333
 0.125      0.05555556 0.20833333 0.18055556 0.125      0.13888889
 0.         0.19444444 0.08333333 0.125      0.16666667 0.15277778
 0.09722222 0.08333333 0.13888889 0.18055556 0.13888889 0.16666667
 0.08333333 0.125      0.08333333 0.20833333 0.16666667 0.08333333
 0.125      0.04166667 0.16666667 0.20833333 0.20833333 0.13888889
 0.08333333 0.125      0.125      0.125      0.16666667 0.31944444]",0.22188449848024305
